區域別,性別,六五歲,六六歲,六七歲,六八歲,六九歲,七十歲,七一歲,七二歲,七三歲,七四歲,七五歲,七六歲,七七歲,七八歲,七九歲,八十歲
桃園區,男,2379,2284,2121,2118,2012,1764,1534,1350,1165,962,719,797,744,760,657,641
桃園區,女,2889,2806,2702,2447,2452,2142,1941,1620,1390,1114,881,1041,1002,943,890,923
中壢區,男,2243,2152,2003,1830,1798,1492,1336,1202,971,823,635,689,706,630,590,533
中壢區,女,2514,2523,2336,2394,2403,2023,1810,1613,1295,1158,886,974,1024,1015,868,803
大溪區,男,581,554,493,502,514,392,338,317,271,188,170,211,207,200,153,173
大溪區,女,624,603,550,538,573,453,400,375,326,267,194,237,246,239,201,239
楊梅區,男,934,937,841,821,844,665,597,478,366,373,272,320,307,274,272,254
楊梅區,女,978,974,861,810,881,687,566,533,409,385,293,356,326,341,377,332
蘆竹區,男,778,785,702,671,648,592,487,428,387,304,218,271,248,208,246,233
蘆竹區,女,845,806,813,770,766,609,541,450,399,302,248,332,308,296,274,253
大園區,男,549,492,477,417,466,379,297,281,228,165,142,165,169,165,154,173
大園區,女,543,476,457,421,415,308,301,273,224,173,181,200,212,192,176,168
龜山區,男,999,857,815,876,799,656,582,480,413,337,252,283,274,249,218,193
龜山區,女,1054,1057,1038,910,898,750,707,546,512,441,321,372,365,353,315,290
八德區,男,1145,1111,1028,1036,1007,778,699,603,560,414,325,337,312,312,237,231
八德區,女,1384,1390,1294,1192,1213,1034,835,823,652,505,400,465,395,431,341,318
龍潭區,男,812,766,680,672,637,544,478,423,319,314,225,233,217,201,209,186
龍潭區,女,834,854,749,735,752,569,557,492,349,313,267,271,273,265,247,260
平鎮區,男,1270,1218,1119,1109,995,824,774,627,504,459,330,394,362,316,322,278
平鎮區,女,1528,1449,1395,1226,1330,1090,881,806,675,598,455,505,462,424,422,389
新屋區,男,356,333,299,319,300,254,265,212,167,147,105,160,148,133,147,137
新屋區,女,287,275,245,261,242,181,199,133,147,131,137,143,164,172,172,150
觀音區,男,420,392,325,287,311,258,252,198,189,147,116,147,155,136,144,139
觀音區,女,311,312,275,298,271,215,194,169,160,156,128,158,155,180,150,165
復興區,男,91,78,69,65,68,63,41,43,43,19,28,17,24,28,23,18
復興區,女,69,64,62,75,48,43,49,43,40,17,8,15,40,31,22,15